Geneid	../bam/americana_AG_1.bam	../bam/americana_AG_2.bam	../bam/americana_AG_3.bam	../bam/americana_carcass_1.bam	../bam/americana_carcass_2.bam	../bam/americana_carcass_3.bam	../bam/americana_EB_1.bam	../bam/americana_EB_2.bam	../bam/americana_testes_1.bam	../bam/americana_testes_2.bam	../bam/americana_testes_3.bam	../bam/DameSB_fem.bam	../bam/DameSB_mal.bam
MSTRG.14366	43	782	47	36	123	173	36	1556	17419	21698	25410	44	71043
MSTRG.14367	111	2662	114	47	146	343	57	5092	59660	80709	92043	126	272621
MSTRG.14368	78	77	72	162	250	153	195	262	88	118	145	441	922
MSTRG.14369	14	15	23	763	1334	1255	36	63	23	40	47	7281	2363
MSTRG.14370	283	863	317	1596	1279	1202	319	1495	16264	19331	24254	15793	148627
MSTRG.14371	2812	4043	4688	11046	25004	10827	2624	3978	817	1399	1650	46998	30630
MSTRG.14372	0	0	0	0	0	0	0	0	78	7	15	0	8
MSTRG.14373	2806	2917	3141	4294	6279	4118	2189	3523	1636	2576	2904	8712	14940
MSTRG.14374	1	1	18	2964	800	1471	9	4	18	10	13	2746	6048
MSTRG.14375	0	1	1	660	493	361	3	0	1	2	1	555	1270
MSTRG.14376	0	0	0	0	0	0	0	0	16	17	13	0	4
MSTRG.14377	0	2	2	0	0	0	0	20	279	332	394	2	1235
MSTRG.14378	98	1	2	23	0	1	0	1	3	0	0	2	44
MSTRG.14379	178	167	210	880	1793	780	172	310	844	1167	1365	2838	2968
MSTRG.14380	361	695	747	240	645	305	170	322	81	114	138	1578	1200
MSTRG.14381	77	116	133	201	460	227	117	167	162	242	313	2351	1410
MSTRG.14382	3	30	2	5	9	8	0	80	972	1162	1306	3	2149
MSTRG.14383	716	750	788	3484	2570	2840	1356	1908	1598	2574	2728	5201	15838
MSTRG.14384	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.14385	184	126	167	78	26	105	115	146	85	145	151	325	2040
MSTRG.14386	0	24	1	0	0	2	0	17	248	269	358	1	639
MSTRG.14387	0	0	5	219	101	190	1	0	3	2	9	357	951
MSTRG.14388	0	0	0	1	0	0	0	2	24	27	28	0	26
MSTRG.14389	0	0	0	0	0	0	0	0	10	22	19	0	0
MSTRG.14390	0	3	0	0	0	1	0	9	135	158	149	0	344
MSTRG.14391	0	3	4	940	644	565	3	2	16	24	18	1022	3406
MSTRG.14392	257	354	384	713	1735	1228	455	725	202	396	479	4146	7249
MSTRG.14393	9702	11547	13838	7064	4464	6398	4268	5658	5647	9153	10526	21864	86582
MSTRG.14394	7	2	4	7	6	2	2	11	79	142	137	16	90
MSTRG.14395	3	40	3	1	5	3	1	106	1021	1513	1595	0	3410
MSTRG.14396	0	1	0	0	0	1	0	4	68	55	67	0	247
MSTRG.14397	149	175	69	1	0	0	0	0	0	0	0	0	32
MSTRG.14398	9891	12218	9675	36	17	14	6	138	8	18	19	2	1402
MSTRG.14399	18	14	17	1	0	0	0	0	1	0	0	0	52
MSTRG.14400	8338	10853	9862	30	6	3	0	70	4	8	3	1	1346
MSTRG.14401	4106	6097	6166	5687	8790	6034	18649	27298	712	1185	1428	7552	18926
MSTRG.14402	206	348	464	239	439	328	254	394	146	245	272	2645	2417
MSTRG.14403	228	309	361	498	1407	493	310	558	225	365	432	6400	1787
MSTRG.14404	152	237	228	652	794	629	323	567	335	593	718	4469	4849
MSTRG.14405	1	0	4	292	121	132	2	0	0	0	0	4211	9704
MSTRG.14406	0	0	1	231	216	120	1	0	1	0	0	1559	1874
MSTRG.14407	7	10	15	258	474	290	22	5	9	19	17	162	397
MSTRG.14408	5	3	4	122	19	26	4	1	1	3	3	10	44
MSTRG.14409	740	824	845	4602	2987	3292	900	1504	160	242	263	6408	10699
MSTRG.14410	50	33	28	269	44	171	32	101	11	12	14	503	792
MSTRG.14411	101	137	134	513	473	418	183	413	1617	1882	2263	3779	13516
MSTRG.14412	2	0	2	156	73	118	8	6	7	11	20	198	332
MSTRG.14413	14	25	36	1230	2330	1479	88	132	100	138	157	2650	5194
MSTRG.14414	218	292	293	722	1005	637	336	439	94	203	265	2016	1903
MSTRG.14415	92	154	109	1	0	0	1	0	1	2	3	0	1
MSTRG.14416	509	700	389	3	0	0	0	2	1	0	0	2	3
MSTRG.14417	1	1	1	19	65	32	128	175	0	1	1	87	96
MSTRG.14418	1	2	2	1	2	0	28	62	14	29	39	2	138
MSTRG.14419	6	8	9	2	4	3	20	23	0	0	4	0	89
